Vehicle 1,Vehicle 2,Py_RFC_Training_time,Py_RFC_Testing_time,Py_RFC_Accuracy,Py_NB_Training_time,Py_NB_Testing_time,Py_NB_Accuracy,SKL_RF_Accuracy,SKL_RF_Time Taken for Fittting,SKL_RF_Time Taken for Predicting,SKL_NB_Accuracy,SKL_NB_Time Taken for Fittting,SKL_NB_Time Taken for Predicting,Py_RFC_Training_seconds,Py_RFC_Testing_seconds,Py_NB_Training_seconds,Py_NB_Testing_seconds,SKL_RF_Time Taken for Fittting_seconds,SKL_RF_Time Taken for Predicting_seconds,SKL_NB_Time Taken for Fittting_seconds,SKL_NB_Time Taken for Predicting_seconds
Pickup Truck,Lawn Mower,0.035192,0.008774,0.532,0.019317,0.007512,0.517,0.5508,36.59,0.0676,0.5175,0.129202,0.039954,0.035192s,0.008774s,0.019317s,0.007512s,36.59s,0.0676s,0.129202s,0.039954s
Pickup Truck,Tractor,0.036546,0.009548,0.459,0.021408,0.004861,0.468,0.4817,35.37,0.0679,0.4675,0.1167,0.0312049,0.036546s,0.009548s,0.021408s,0.004861s,35.37s,0.0679s,0.1167s,0.0312049s
Pickup Truck,Tank,0.031754,0.010075,0.497,0.029701,0.006845,0.461,0.5525,35.6,0.0698,0.4608,0.12474,0.031905,0.031754s,0.010075s,0.029701s,0.006845s,35.6s,0.0698s,0.12474s,0.031905s
Pickup Truck,Rocket,0.033083,0.010009,0.329,0.026997,0.006539,0.328,0.3325,35.59,0.0675,0.3283,0.119842,0.032149,0.033083s,0.010009s,0.026997s,0.006539s,35.59s,0.0675s,0.119842s,0.032149s
Pickup Truck,Street Car,0.03314,0.008327,0.487,0.017807,0.005081,0.472,0.4675,34.6,0.067,0.4725,0.12161,0.03386,0.03314s,0.008327s,0.017807s,0.005081s,34.6s,0.067s,0.12161s,0.03386s
Motorcycle,Lawn Mower,0.030354,0.010932,0.701,0.018632,0.004216,0.588,0.745,35.77,0.067,0.5883,0.121086,0.031055,0.030354s,0.010932s,0.018632s,0.004216s,35.77s,0.067s,0.121086s,0.031055s
Motorcycle,Tractor,0.035426,0.007441,0.454,0.020718,0.005251,0.488,0.5258,36.26,0.0696,0.4883,0.1205699,0.0311219,0.035426s,0.007441s,0.020718s,0.005251s,36.26s,0.0696s,0.1205699s,0.0311219s
Motorcycle,Tank,0.029293,0.010222,0.472,0.019765,0.006756,0.451,0.52,35.57,0.0659,0.4508,0.1189949,0.031792,0.029293s,0.010222s,0.019765s,0.006756s,35.57s,0.0659s,0.1189949s,0.031792s
Motorcycle,Rocket,0.03312,0.011809,0.383,0.024004,0.0056,0.363,0.4,35.91,0.0628,0.3633,0.117831,0.032591,0.03312s,0.011809s,0.024004s,0.0056s,35.91s,0.0628s,0.117831s,0.032591s
Motorcycle,Street Car,0.032559,0.008447,0.425,0.01956,0.006836,0.468,0.455,34.17,0.066,0.4675,0.118279,0.031787,0.032559s,0.008447s,0.01956s,0.006836s,34.17s,0.066s,0.118279s,0.031787s
Bicycle,Lawn Mower,0.030918,0.009822,0.422,0.021163,0.005411,0.429,0.4283,35.52,0.0623,0.4292,0.084,0.033905,0.030918s,0.009822s,0.021163s,0.005411s,35.52s,0.0623s,0.083999s,0.033905s
Bicycle,Tractor,0.034332,0.012357,0.339,0.019558,0.011346,0.379,0.3583,34.46,0.0725,0.3792,0.119436,0.03203,0.034332s,0.012357s,0.019558s,0.011346s,34.46s,0.0725s,0.119436s,0.03203s
Bicycle,Tank,0.032138,0.010128,0.314,0.019355,0.01531,0.315,0.3067,34.18,0.0649,0.315,0.116449,0.0309499,0.032138s,0.010128s,0.019355s,0.01531s,34.18s,0.0649s,0.116449s,0.0309499s
Bicycle,Rocket,0.03006,0.009167,0.42,0.024037,0.005284,0.473,0.4133,36.71,0.0642,0.4733,0.120824,0.036076,0.03006s,0.009167s,0.024037s,0.005284s,36.71s,0.0642s,0.120824s,0.036076s
Bicycle,Street Car,0.032459,0.008537,0.328,0.02008,0.007605,0.398,0.3067,34.12,0.0668,0.3975,0.116908,0.031231,0.032459s,0.008537s,0.02008s,0.007605s,34.12s,0.0668s,0.116908s,0.031231s
Bus,Lawn Mower,0.030782,0.007113,0.393,0.017722,0.00572,0.386,0.4583,35.66,0.0666,0.3858,0.11677,0.031556,0.030782s,0.007113s,0.017722s,0.00572s,35.66s,0.0666s,0.11677s,0.031556s
Bus,Tractor,0.02981,0.010695,0.399,0.018403,0.007064,0.422,0.4333,34.79,0.062,0.4225,0.118631,0.03128,0.02981s,0.010695s,0.018403s,0.007064s,34.79s,0.062s,0.118631s,0.03128s
Bus,Tank,0.032252,0.009584,0.445,0.021241,0.012733,0.436,0.5,35.26,0.0621,0.4358,0.115878,0.031659,0.032252s,0.009584s,0.021241s,0.012733s,35.26s,0.0621s,0.115878s,0.031659s
Bus,Rocket,0.029504,0.008555,0.362,0.018976,0.009609,0.354,0.365,35.24,0.0682,0.3542,0.12021,0.032752,0.029504s,0.008555s,0.018976s,0.009609s,35.24s,0.0682s,0.12021s,0.032752s
Bus,Street Car,0.027514,0.011612,0.49,0.023384,0.004408,0.467,0.4908,34.84,0.0735,0.4667,0.119826,0.031924,0.027514s,0.011612s,0.023384s,0.004408s,34.84s,0.0735s,0.119826s,0.031924s
Train,Lawn Mower,0.032143,0.010433,0.389,0.024059,0.00465,0.39,0.425,35.47,0.0693,0.39,0.12004,0.0318,0.032143s,0.010433s,0.024059s,0.00465s,35.47s,0.0693s,0.12004s,0.0318s
Train,Tractor,0.028891,0.007064,0.459,0.018105,0.007064,0.429,0.4558,34.78,0.0677,0.4292,0.116893,0.03092,0.028891s,0.007064s,0.018105s,0.007064s,34.78s,0.0677s,0.116893s,0.03092s
Train,Tank,0.029049,0.010179,0.473,0.019834,0.004617,0.477,0.4492,34.8,0.0743,0.4775,0.123496,0.032703,0.029049s,0.010179s,0.019834s,0.004617s,34.8s,0.0743s,0.123496s,0.032703s
Train,Rocket,0.031987,0.007869,0.259,0.016398,0.007456,0.264,0.2683,35.04,0.0623,0.2642,0.119745,0.033424,0.031987s,0.007869s,0.016398s,0.007456s,35.04s,0.0623s,0.119745s,0.033424s
Train,Street Car,0.031585,0.006305,0.442,0.018213,0.011579,0.429,0.4125,34.14,0.0801,0.4292,0.121404,0.030934,0.031585s,0.006305s,0.018213s,0.011579s,34.14s,0.0801s,0.121404s,0.030934s
